Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.28,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
0.54,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
0.80,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
1.05,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
1.32,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
1.56,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
1.78,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
2.07,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
2.30,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
2.53,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
2.81,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
3.06,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
3.30,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
3.59,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
3.83,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
4.09,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
4.32,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
4.61,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
4.89,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
5.15,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
5.42,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
5.67,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
5.96,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
6.24,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
6.54,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
6.76,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
7.02,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
7.25,22.78,0.07000000,0.46,3.19,0.00140000,0.00980000,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
7.48,259.29,0.10000000,5.64,36.38,0.00340000,0.01692454,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
7.71,31.83,0.04000000,6.28,36.55,0.00420000,0.01767371,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
7.99,46.00,0.11000000,7.20,36.96,0.00640000,0.02304431,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
8.27,161.77,0.12000000,10.43,42.80,0.00880000,0.02797427,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
8.51,256.22,0.05000000,15.56,54.88,0.00980000,0.02852998,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
8.81,20.88,0.03000000,15.98,54.84,0.01040000,0.02863285,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
9.04,36.75,0.06000000,16.71,54.87,0.01160000,0.02941836,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
9.34,215.82,0.08000000,21.03,61.47,0.01320000,0.03088301,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
9.60,176.52,0.09000000,24.56,65.13,0.01500000,0.03263434,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
9.83,218.77,0.08000000,28.93,70.46,0.01660000,0.03380000,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
10.08,169.82,0.13000000,32.33,73.03,0.01920000,0.03724728,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
10.37,65.41,0.10000000,33.64,73.02,0.02120000,0.03881443,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
