Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.24,24.07,0.09000000,148.91,86.81,0.09420000,0.02885065,Status: Arc Flash,Status: Arc Flash,Sesuai
0.49,58.08,0.12000000,145.32,86.78,0.09400000,0.02863564,Status: Arc Flash,Status: Arc Flash,Sesuai
0.72,151.02,0.13000000,145.21,86.77,0.09400000,0.02863564,Status: Arc Flash,Status: Arc Flash,Sesuai
0.97,205.13,0.04000000,143.87,85.31,0.09280000,0.02960000,Status: Arc Flash,Status: Arc Flash,Sesuai
1.23,246.41,0.10000000,143.82,85.25,0.09380000,0.02897516,Status: Arc Flash,Status: Arc Flash,Sesuai
1.53,107.84,0.07000000,143.14,85.40,0.09320000,0.02915064,Status: Arc Flash,Status: Arc Flash,Sesuai
1.83,84.16,0.13000000,141.15,85.59,0.09300000,0.02886174,Status: Arc Flash,Status: Arc Flash,Sesuai
2.06,137.03,0.11000000,141.88,85.39,0.09420000,0.02829063,Status: Arc Flash,Status: Arc Flash,Sesuai
2.29,8.23,0.13000000,139.74,87.35,0.09480000,0.02872212,Status: Arc Flash,Status: Arc Flash,Sesuai
2.57,230.00,0.04000000,143.93,86.56,0.09340000,0.02963849,Status: Arc Flash,Status: Arc Flash,Sesuai
2.85,97.44,0.13000000,139.88,83.87,0.09500000,0.02941088,Status: Arc Flash,Status: Arc Flash,Sesuai
3.15,70.56,0.06000000,136.30,82.92,0.09340000,0.02909364,Status: Arc Flash,Status: Arc Flash,Sesuai
3.40,63.52,0.11000000,136.44,82.79,0.09360000,0.02917259,Status: Arc Flash,Status: Arc Flash,Sesuai
3.69,28.19,0.05000000,135.61,83.66,0.09220000,0.02954928,Status: Arc Flash,Status: Arc Flash,Sesuai
3.95,59.33,0.06000000,130.87,81.10,0.09040000,0.02870261,Status: Arc Flash,Status: Arc Flash,Sesuai
4.22,210.30,0.03000000,131.14,81.34,0.08920000,0.02992257,Status: Arc Flash,Status: Arc Flash,Sesuai
4.45,220.80,0.06000000,131.14,81.34,0.08960000,0.02939116,Status: Arc Flash,Status: Arc Flash,Sesuai
4.69,115.68,0.08000000,131.48,81.24,0.08880000,0.02909570,Status: Arc Flash,Status: Arc Flash,Sesuai
4.96,171.16,0.08000000,132.92,81.30,0.08860000,0.02912113,Status: Arc Flash,Status: Arc Flash,Sesuai
5.25,78.74,0.05000000,131.37,81.58,0.08860000,0.02912113,Status: Arc Flash,Status: Arc Flash,Sesuai
5.51,254.37,0.04000000,135.80,82.12,0.08720000,0.02973483,Status: Arc Flash,Status: Arc Flash,Sesuai
5.79,34.14,0.08000000,130.98,80.85,0.08700000,0.02974895,Status: Arc Flash,Status: Arc Flash,Sesuai
6.02,79.64,0.13000000,127.02,78.39,0.08800000,0.03033150,Status: Arc Flash,Status: Arc Flash,Sesuai
6.29,87.48,0.12000000,127.94,77.64,0.08860000,0.03066007,Status: Arc Flash,Status: Arc Flash,Sesuai
6.58,114.90,0.06000000,127.77,77.66,0.08860000,0.03066007,Status: Arc Flash,Status: Arc Flash,Sesuai
6.87,175.18,0.07000000,125.97,75.46,0.08720000,0.02986905,Status: Arc Flash,Status: Arc Flash,Sesuai
7.10,195.10,0.11000000,129.34,74.71,0.08740000,0.02998733,Status: Arc Flash,Status: Arc Flash,Sesuai
7.34,188.76,0.08000000,131.81,74.58,0.08660000,0.02963849,Status: Arc Flash,Status: Arc Flash,Sesuai
7.59,0.00,0.00000000,131.43,75.22,0.08520000,0.03195246,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
