Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.23,83.45,0.07000000,146.69,86.27,0.09580000,0.03538870,Status: Arc Flash,Status: Arc Flash,Sesuai
0.46,212.86,0.05000000,149.44,86.14,0.09440000,0.03578603,Status: Arc Flash,Status: Arc Flash,Sesuai
0.71,295.93,0.09000000,153.47,88.17,0.09480000,0.03562246,Status: Arc Flash,Status: Arc Flash,Sesuai
0.97,271.56,0.08000000,153.70,88.46,0.09400000,0.03549648,Status: Arc Flash,Status: Arc Flash,Sesuai
1.24,182.17,0.03000000,152.85,87.98,0.09260000,0.03659563,Status: Arc Flash,Status: Arc Flash,Sesuai
1.51,299.62,0.12000000,153.17,88.48,0.09400000,0.03627671,Status: Arc Flash,Status: Arc Flash,Sesuai
1.77,287.32,0.11000000,158.80,87.88,0.09540000,0.03550831,Status: Arc Flash,Status: Arc Flash,Sesuai
2.01,5.77,0.15000000,157.25,89.86,0.09600000,0.03616628,Status: Arc Flash,Status: Arc Flash,Sesuai
2.23,96.07,0.09000000,158.61,88.39,0.09540000,0.03601166,Status: Arc Flash,Status: Arc Flash,Sesuai
2.47,122.08,0.03000000,158.47,88.44,0.09460000,0.03699784,Status: Arc Flash,Status: Arc Flash,Sesuai
2.72,1.02,0.08000000,154.86,91.07,0.09500000,0.03672874,Status: Arc Flash,Status: Arc Flash,Sesuai
2.94,283.79,0.09000000,159.58,91.51,0.09540000,0.03656282,Status: Arc Flash,Status: Arc Flash,Sesuai
3.18,96.86,0.08000000,159.62,91.48,0.09400000,0.03577709,Status: Arc Flash,Status: Arc Flash,Sesuai
3.43,224.07,0.14000000,159.93,91.67,0.09440000,0.03617513,Status: Arc Flash,Status: Arc Flash,Sesuai
3.72,10.15,0.10000000,156.99,94.04,0.09400000,0.03600000,Status: Arc Flash,Status: Arc Flash,Sesuai
3.96,29.85,0.14000000,152.41,94.55,0.09400000,0.03600000,Status: Arc Flash,Status: Arc Flash,Sesuai
4.25,219.20,0.06000000,150.79,92.69,0.09220000,0.03540000,Status: Arc Flash,Status: Arc Flash,Sesuai
4.54,95.21,0.15000000,152.43,90.95,0.09420000,0.03578212,Status: Arc Flash,Status: Arc Flash,Sesuai
4.83,237.46,0.10000000,152.76,91.23,0.09400000,0.03572114,Status: Arc Flash,Status: Arc Flash,Sesuai
5.09,196.90,0.14000000,152.87,91.28,0.09500000,0.03629049,Status: Arc Flash,Status: Arc Flash,Sesuai
5.37,293.80,0.14000000,155.07,93.31,0.09500000,0.03629049,Status: Arc Flash,Status: Arc Flash,Sesuai
5.67,111.36,0.08000000,155.88,92.75,0.09380000,0.03577094,Status: Arc Flash,Status: Arc Flash,Sesuai
5.89,221.15,0.13000000,160.21,90.61,0.09500000,0.03595831,Status: Arc Flash,Status: Arc Flash,Sesuai
6.18,180.89,0.08000000,160.90,90.64,0.09380000,0.03543388,Status: Arc Flash,Status: Arc Flash,Sesuai
6.48,295.75,0.14000000,165.68,91.31,0.09520000,0.03584634,Status: Arc Flash,Status: Arc Flash,Sesuai
6.76,123.30,0.07000000,163.18,90.72,0.09480000,0.03601333,Status: Arc Flash,Status: Arc Flash,Sesuai
7.01,168.95,0.05000000,161.59,89.91,0.09500000,0.03573514,Status: Arc Flash,Status: Arc Flash,Sesuai
7.27,115.67,0.12000000,162.20,89.50,0.09460000,0.03533893,Status: Arc Flash,Status: Arc Flash,Sesuai
7.50,198.94,0.04000000,164.35,89.06,0.09280000,0.03577932,Status: Arc Flash,Status: Arc Flash,Sesuai
7.77,141.48,0.08000000,161.26,87.11,0.09340000,0.03530496,Status: Arc Flash,Status: Arc Flash,Sesuai
8.02,199.25,0.12000000,163.18,86.87,0.09460000,0.03516874,Status: Arc Flash,Status: Arc Flash,Sesuai
8.27,284.65,0.07000000,165.91,88.48,0.09500000,0.03477068,Status: Arc Flash,Status: Arc Flash,Sesuai
8.55,218.85,0.10000000,166.54,88.75,0.09500000,0.03477068,Status: Arc Flash,Status: Arc Flash,Sesuai
8.84,0.00,0.00000000,165.04,90.89,0.09260000,0.03703026,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
9.10,0.00,0.00000000,161.25,93.70,0.09180000,0.03855853,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
9.34,0.00,0.00000000,156.70,95.88,0.08900000,0.04001250,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
9.63,0.00,0.00000000,151.26,96.89,0.08620000,0.04122572,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
9.86,0.00,0.00000000,148.87,99.09,0.08480000,0.04290641,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
10.14,0.00,0.00000000,144.45,100.69,0.08240000,0.04420679,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
10.44,0.00,0.00000000,140.08,102.11,0.08080000,0.04568764,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
10.74,0.00,0.00000000,136.10,103.60,0.07940000,0.04704934,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
11.00,0.00,0.00000000,135.90,103.86,0.07720000,0.04812650,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
11.26,0.00,0.00000000,134.06,105.42,0.07560000,0.04932180,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
11.55,0.00,0.00000000,132.16,106.95,0.07460000,0.05032733,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
11.84,0.00,0.00000000,127.05,107.03,0.07160000,0.05021394,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
12.08,0.00,0.00000000,126.16,107.89,0.07040000,0.05118437,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
12.36,0.00,0.00000000,126.14,107.92,0.06820000,0.05179537,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
