Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.25,265.96,0.05000000,266.56,0.69,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
0.54,266.62,0.05000000,266.57,0.68,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
0.82,267.00,0.05000000,266.60,0.67,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.11,266.21,0.05000000,266.58,0.67,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.41,267.61,0.05000000,266.59,0.68,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.67,267.17,0.05000000,266.58,0.67,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.94,266.66,0.05000000,266.60,0.66,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.17,266.34,0.05000000,266.62,0.62,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.44,266.66,0.05000000,266.63,0.61,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.68,266.75,0.05000000,266.63,0.61,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.91,266.64,0.05000000,266.61,0.60,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.20,266.26,0.05000000,266.60,0.60,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.43,266.25,0.05000000,266.59,0.60,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.67,266.13,0.05000000,266.57,0.60,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.95,266.39,0.05000000,266.57,0.60,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.18,266.44,0.05000000,266.57,0.60,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.46,266.42,0.05000000,266.56,0.60,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
