Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.28,34.92,0.08000000,159.16,89.71,0.08960000,0.03820785,Status: Arc Flash,Status: Arc Flash,Sesuai
0.55,189.75,0.06000000,160.54,89.65,0.09020000,0.03749613,Status: Arc Flash,Status: Arc Flash,Sesuai
0.81,156.32,0.13000000,160.81,89.61,0.09220000,0.03689390,Status: Arc Flash,Status: Arc Flash,Sesuai
1.03,210.72,0.06000000,164.80,87.27,0.09280000,0.03611316,Status: Arc Flash,Status: Arc Flash,Sesuai
1.27,111.54,0.03000000,166.54,85.30,0.09280000,0.03611316,Status: Arc Flash,Status: Arc Flash,Sesuai
1.54,202.58,0.11000000,166.69,85.36,0.09320000,0.03619061,Status: Arc Flash,Status: Arc Flash,Sesuai
1.80,141.95,0.08000000,163.60,83.37,0.09200000,0.03560899,Status: Arc Flash,Status: Arc Flash,Sesuai
2.04,68.72,0.05000000,160.21,83.72,0.09180000,0.03581564,Status: Arc Flash,Status: Arc Flash,Sesuai
2.27,22.27,0.10000000,154.98,84.00,0.09260000,0.03554209,Status: Arc Flash,Status: Arc Flash,Sesuai
2.55,151.22,0.04000000,153.86,83.67,0.09120000,0.03620166,Status: Arc Flash,Status: Arc Flash,Sesuai
2.78,81.54,0.06000000,151.55,84.04,0.09060000,0.03646423,Status: Arc Flash,Status: Arc Flash,Sesuai
3.08,73.42,0.05000000,147.42,82.69,0.09040000,0.03665842,Status: Arc Flash,Status: Arc Flash,Sesuai
3.31,89.64,0.05000000,148.77,81.16,0.08860000,0.03638736,Status: Arc Flash,Status: Arc Flash,Sesuai
3.54,12.30,0.06000000,143.23,80.83,0.08700000,0.03584690,Status: Arc Flash,Status: Arc Flash,Sesuai
3.84,295.76,0.09000000,147.41,83.17,0.08660000,0.03569930,Status: Arc Flash,Status: Arc Flash,Sesuai
4.09,208.95,0.14000000,147.04,82.85,0.08840000,0.03607548,Status: Arc Flash,Status: Arc Flash,Sesuai
4.32,69.49,0.10000000,145.79,83.53,0.08800000,0.03583295,Status: Arc Flash,Status: Arc Flash,Sesuai
4.55,50.60,0.11000000,143.57,84.55,0.08860000,0.03594496,Status: Arc Flash,Status: Arc Flash,Sesuai
4.82,71.51,0.08000000,140.08,83.86,0.08860000,0.03594496,Status: Arc Flash,Status: Arc Flash,Sesuai
5.08,272.72,0.13000000,143.01,85.86,0.08920000,0.03637802,Status: Arc Flash,Status: Arc Flash,Sesuai
5.35,7.02,0.10000000,140.50,87.94,0.08920000,0.03637802,Status: Arc Flash,Status: Arc Flash,Sesuai
5.58,246.36,0.12000000,140.11,87.42,0.08880000,0.03592436,Status: Arc Flash,Status: Arc Flash,Sesuai
5.87,60.83,0.13000000,138.73,88.11,0.08860000,0.03566567,Status: Arc Flash,Status: Arc Flash,Sesuai
6.13,157.62,0.04000000,139.46,88.12,0.08740000,0.03626624,Status: Arc Flash,Status: Arc Flash,Sesuai
6.40,289.09,0.04000000,144.95,88.72,0.08640000,0.03686516,Status: Arc Flash,Status: Arc Flash,Sesuai
6.65,107.69,0.06000000,144.27,88.87,0.08520000,0.03672819,Status: Arc Flash,Status: Arc Flash,Sesuai
6.89,77.30,0.09000000,142.33,89.25,0.08420000,0.03589373,Status: Arc Flash,Status: Arc Flash,Sesuai
