Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.27,65.79,0.10000000,147.79,85.26,0.08820000,0.03404056,Status: Arc Flash,Status: Arc Flash,Sesuai
0.52,8.59,0.06000000,144.42,87.35,0.08760000,0.03426719,Status: Arc Flash,Status: Arc Flash,Sesuai
0.74,112.43,0.03000000,143.63,87.45,0.08540000,0.03436335,Status: Arc Flash,Status: Arc Flash,Sesuai
1.01,40.61,0.10000000,139.13,86.84,0.08660000,0.03380000,Status: Arc Flash,Status: Arc Flash,Sesuai
1.28,102.09,0.14000000,139.72,86.49,0.08860000,0.03394171,Status: Arc Flash,Status: Arc Flash,Sesuai
1.53,114.33,0.10000000,141.66,84.79,0.08900000,0.03395585,Status: Arc Flash,Status: Arc Flash,Sesuai
1.83,78.13,0.08000000,143.00,83.23,0.08960000,0.03352372,Status: Arc Flash,Status: Arc Flash,Sesuai
2.09,23.99,0.12000000,138.70,83.72,0.09120000,0.03302363,Status: Arc Flash,Status: Arc Flash,Sesuai
2.32,109.21,0.05000000,138.48,83.78,0.09120000,0.03302363,Status: Arc Flash,Status: Arc Flash,Sesuai
2.60,253.06,0.13000000,140.96,85.29,0.09280000,0.03292659,Status: Arc Flash,Status: Arc Flash,Sesuai
2.83,188.06,0.06000000,143.63,84.62,0.09200000,0.03322650,Status: Arc Flash,Status: Arc Flash,Sesuai
3.06,28.55,0.09000000,142.56,85.73,0.09260000,0.03291261,Status: Arc Flash,Status: Arc Flash,Sesuai
3.30,22.05,0.12000000,138.09,86.07,0.09340000,0.03308232,Status: Arc Flash,Status: Arc Flash,Sesuai
3.53,178.15,0.04000000,140.48,85.49,0.09320000,0.03337304,Status: Arc Flash,Status: Arc Flash,Sesuai
3.82,229.93,0.10000000,145.05,84.03,0.09340000,0.03338323,Status: Arc Flash,Status: Arc Flash,Sesuai
4.09,280.84,0.07000000,147.80,86.15,0.09400000,0.03268027,Status: Arc Flash,Status: Arc Flash,Sesuai
4.38,144.86,0.14000000,149.69,85.03,0.09400000,0.03268027,Status: Arc Flash,Status: Arc Flash,Sesuai
4.64,194.22,0.14000000,152.55,84.07,0.09420000,0.03292962,Status: Arc Flash,Status: Arc Flash,Sesuai
4.87,188.69,0.08000000,151.23,82.96,0.09440000,0.03281219,Status: Arc Flash,Status: Arc Flash,Sesuai
5.13,241.40,0.14000000,154.35,83.35,0.09480000,0.03324094,Status: Arc Flash,Status: Arc Flash,Sesuai
5.35,108.81,0.08000000,155.10,82.77,0.09340000,0.03234872,Status: Arc Flash,Status: Arc Flash,Sesuai
5.62,113.00,0.04000000,153.68,82.87,0.09320000,0.03264598,Status: Arc Flash,Status: Arc Flash,Sesuai
5.88,18.80,0.05000000,150.47,84.90,0.09280000,0.03304784,Status: Arc Flash,Status: Arc Flash,Sesuai
6.11,272.62,0.08000000,151.16,85.75,0.09260000,0.03309441,Status: Arc Flash,Status: Arc Flash,Sesuai
6.38,228.21,0.12000000,154.80,85.08,0.09260000,0.03309441,Status: Arc Flash,Status: Arc Flash,Sesuai
6.66,253.82,0.10000000,156.83,86.20,0.09280000,0.03310831,Status: Arc Flash,Status: Arc Flash,Sesuai
6.96,241.97,0.05000000,158.31,87.01,0.09220000,0.03360298,Status: Arc Flash,Status: Arc Flash,Sesuai
7.23,172.75,0.04000000,156.18,85.31,0.09220000,0.03360298,Status: Arc Flash,Status: Arc Flash,Sesuai
7.47,78.87,0.04000000,152.30,84.31,0.09080000,0.03428352,Status: Arc Flash,Status: Arc Flash,Sesuai
7.75,54.40,0.10000000,152.84,83.58,0.08980000,0.03325598,Status: Arc Flash,Status: Arc Flash,Sesuai
8.00,278.86,0.04000000,152.51,83.03,0.08880000,0.03397882,Status: Arc Flash,Status: Arc Flash,Sesuai
8.25,265.11,0.07000000,153.73,84.22,0.08880000,0.03397882,Status: Arc Flash,Status: Arc Flash,Sesuai
8.54,186.62,0.07000000,154.79,84.30,0.08840000,0.03407991,Status: Arc Flash,Status: Arc Flash,Sesuai
8.83,96.79,0.13000000,152.82,84.48,0.08800000,0.03346640,Status: Arc Flash,Status: Arc Flash,Sesuai
9.13,59.56,0.07000000,150.23,85.30,0.08660000,0.03271758,Status: Arc Flash,Status: Arc Flash,Sesuai
9.35,119.06,0.05000000,151.34,84.53,0.08480000,0.03220186,Status: Arc Flash,Status: Arc Flash,Sesuai
9.57,47.37,0.14000000,147.48,84.78,0.08500000,0.03251154,Status: Arc Flash,Status: Arc Flash,Sesuai
9.80,189.07,0.07000000,149.10,84.79,0.08480000,0.03257238,Status: Arc Flash,Status: Arc Flash,Sesuai
10.09,145.81,0.10000000,147.02,83.56,0.08460000,0.03244750,Status: Arc Flash,Status: Arc Flash,Sesuai
10.37,254.97,0.07000000,147.64,84.24,0.08480000,0.03232584,Status: Arc Flash,Status: Arc Flash,Sesuai
10.63,194.27,0.07000000,149.55,84.19,0.08540000,0.03176224,Status: Arc Flash,Status: Arc Flash,Sesuai
10.90,72.42,0.03000000,150.42,83.16,0.08400000,0.03261901,Status: Arc Flash,Status: Arc Flash,Sesuai
11.18,73.85,0.13000000,147.32,83.06,0.08460000,0.03317891,Status: Arc Flash,Status: Arc Flash,Sesuai
11.44,267.46,0.05000000,148.75,84.50,0.08420000,0.03347178,Status: Arc Flash,Status: Normal,Tidak Sesuai
11.71,266.56,0.05000000,151.48,86.04,0.08320000,0.03373070,Status: Arc Flash,Status: Normal,Tidak Sesuai
11.97,265.98,0.05000000,151.37,85.90,0.08160000,0.03336825,Status: Arc Flash,Status: Normal,Tidak Sesuai
12.22,265.83,0.05000000,152.78,87.17,0.08140000,0.03352671,Status: Arc Flash,Status: Normal,Tidak Sesuai
12.44,266.50,0.05000000,155.29,88.59,0.08120000,0.03368323,Status: Arc Flash,Status: Normal,Tidak Sesuai
12.72,266.45,0.05000000,155.40,88.73,0.08000000,0.03370460,Status: Arc Flash,Status: Normal,Tidak Sesuai
13.00,266.57,0.05000000,159.95,88.49,0.07960000,0.03393877,Status: Arc Flash,Status: Normal,Tidak Sesuai
