Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.26,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
0.55,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
0.81,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
1.09,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
1.34,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
1.63,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
1.87,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
2.12,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
2.34,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
2.58,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
2.86,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
3.11,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
3.34,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
3.63,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
3.93,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
4.17,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
4.42,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
4.66,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
4.94,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
5.17,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
5.39,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
5.66,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
5.90,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
6.16,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
6.45,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
6.72,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
7.01,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
7.29,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
7.54,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
7.82,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
8.09,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
8.33,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
8.58,240.20,0.14000000,4.80,33.63,0.00280000,0.01960000,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
8.88,137.22,0.09000000,7.55,38.39,0.00460000,0.02308333,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
9.11,289.15,0.08000000,13.33,55.00,0.00620000,0.02536848,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
9.39,174.31,0.07000000,16.82,59.39,0.00760000,0.02687452,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
9.64,148.80,0.04000000,19.79,62.14,0.00840000,0.02722940,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
9.89,222.08,0.13000000,24.24,68.21,0.01100000,0.03207803,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
10.17,10.81,0.10000000,24.45,68.15,0.01300000,0.03436568,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
10.41,16.93,0.07000000,24.79,68.07,0.01440000,0.03522272,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
10.65,69.27,0.11000000,26.18,68.25,0.01660000,0.03760904,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
10.91,215.17,0.07000000,30.48,73.08,0.01800000,0.03826225,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
11.16,275.43,0.08000000,35.99,80.57,0.01960000,0.03913873,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
11.41,277.03,0.07000000,41.53,87.16,0.02100000,0.03966106,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
11.65,296.28,0.11000000,47.45,93.94,0.02320000,0.04144587,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
11.88,181.43,0.12000000,51.08,95.53,0.02560000,0.04345849,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
12.16,39.00,0.09000000,51.86,95.27,0.02740000,0.04421810,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
12.45,51.14,0.09000000,52.89,94.98,0.02920000,0.04489276,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
12.69,149.74,0.09000000,55.88,95.63,0.03100000,0.04548626,Status: Off Contact,Status: Arc Flash,Tidak Sesuai
12.98,157.07,0.03000000,59.02,96.32,0.03160000,0.04527074,Status: Arc Flash,Status: Arc Flash,Sesuai
13.24,272.76,0.09000000,64.48,100.45,0.03340000,0.04576505,Status: Arc Flash,Status: Arc Flash,Sesuai
13.53,121.88,0.13000000,66.91,100.34,0.03600000,0.04745524,Status: Arc Flash,Status: Arc Flash,Sesuai
13.76,90.86,0.11000000,68.73,99.93,0.03820000,0.04827795,Status: Arc Flash,Status: Arc Flash,Sesuai
13.99,190.20,0.06000000,72.54,100.86,0.03940000,0.04805871,Status: Arc Flash,Status: Arc Flash,Sesuai
